"spkid","full_name"
20162015,"162015 (1994 TF2)"
20162038,"162038 (1996 DH)"
20162039,"162039 (1996 JG)"
20162058,"162058 (1997 AE12)"
20162063,"162063 (1997 EH29)"
20162080,"162080 (1998 DG16)"
20162082,"162082 (1998 HL1)"
20162116,"162116 (1998 SA15)"
20162117,"162117 (1998 SD15)"
20162120,"162120 (1998 SH36)"
20162142,"162142 (1998 VR)"
20162149,"162149 (1998 YQ11)"
20162157,"162157 (1999 CV8)"
20162161,"162161 (1999 DK3)"
20162162,"162162 (1999 DB7)"
20162168,"162168 (1999 GT6)"
20162173,"162173 Ryugu (1999 JU3)"
20162181,"162181 (1999 LF6)"
20162183,"162183 (1999 NB5)"
20162186,"162186 (1999 OP3)"
20162195,"162195 (1999 RK45)"
20162196,"162196 (1999 RL45)"
20162210,"162210 (1999 SM5)"
20162214,"162214 (1999 TC10)"
20162215,"162215 (1999 TL12)"
20162269,"162269 (1999 VO6)"
20162273,"162273 (1999 VL12)"
20162361,"162361 (2000 AF6)"
20162385,"162385 (2000 BM19)"
20162416,"162416 (2000 EH26)"
20162421,"162421 (2000 ET70)"
20162422,"162422 (2000 EV70)"
20162433,"162433 (2000 FK10)"
20162452,"162452 (2000 HO14)"
20162463,"162463 (2000 JH5)"
20162470,"162470 (2000 KX43)"
20162472,"162472 (2000 LL)"
20162474,"162474 (2000 LB16)"
20162483,"162483 (2000 PJ5)"
20162510,"162510 (2000 QW69)"
20162566,"162566 (2000 RJ34)"
20162567,"162567 (2000 RW37)"
20162581,"162581 (2000 SA10)"
20162635,"162635 (2000 SS164)"
20162679,"162679 (2000 TK1)"
20162687,"162687 (2000 UH1)"
20162694,"162694 (2000 UH11)"
20162695,"162695 (2000 UL11)"
20162698,"162698 (2000 UN30)"
20162723,"162723 (2000 VM2)"
20162740,"162740 (2000 WF6)"
20162741,"162741 (2000 WG6)"
20162781,"162781 (2000 XL44)"
20162783,"162783 (2000 YJ11)"
20162825,"162825 (2001 BO61)"
20162854,"162854 (2001 DE47)"
20162873,"162873 (2001 FB7)"
20162882,"162882 (2001 FD58)"
20162900,"162900 (2001 HG31)"
20162903,"162903 (2001 JV2)"
20162911,"162911 (2001 LL5)"
20162913,"162913 (2001 MT18)"
20162922,"162922 (2001 OY13)"
20162926,"162926 (2001 OB36)"
